"id";"fecha";"ano";"mes";"dia";"codigo";"nombre";"unidad_medida";"valor"
97;"2013-02-07";2013;2;7;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
98;"2013-02-08";2013;2;8;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.64
99;"2013-02-08";2013;2;8;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
100;"2013-02-09";2013;2;9;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.64
101;"2013-02-09";2013;2;9;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
102;"2013-02-10";2013;2;10;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.64
103;"2013-02-10";2013;2;10;"uf";"Unidad de Fomento (UF)";"Pesos";22809.17
104;"2013-02-11";2013;2;11;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.48
105;"2013-02-11";2013;2;11;"uf";"Unidad de Fomento (UF)";"Pesos";22810.8
106;"2013-02-12";2013;2;12;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.43
107;"2013-02-12";2013;2;12;"uf";"Unidad de Fomento (UF)";"Pesos";22812.42
108;"2013-02-13";2013;2;13;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.41
109;"2013-02-13";2013;2;13;"uf";"Unidad de Fomento (UF)";"Pesos";22814.05
110;"2013-02-14";2013;2;14;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.36
111;"2013-02-14";2013;2;14;"uf";"Unidad de Fomento (UF)";"Pesos";22815.68
112;"2013-02-15";2013;2;15;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.29
113;"2013-02-15";2013;2;15;"uf";"Unidad de Fomento (UF)";"Pesos";22817.31
114;"2013-02-16";2013;2;16;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.29
115;"2013-02-16";2013;2;16;"uf";"Unidad de Fomento (UF)";"Pesos";22818.94
116;"2013-02-17";2013;2;17;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.29
117;"2013-02-17";2013;2;17;"uf";"Unidad de Fomento (UF)";"Pesos";22820.56
118;"2013-02-18";2013;2;18;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.2
119;"2013-02-18";2013;2;18;"uf";"Unidad de Fomento (UF)";"Pesos";22822.19
120;"2013-02-19";2013;2;19;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.18
121;"2013-02-19";2013;2;19;"uf";"Unidad de Fomento (UF)";"Pesos";22823.82
122;"2013-02-20";2013;2;20;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.13
123;"2013-02-20";2013;2;20;"uf";"Unidad de Fomento (UF)";"Pesos";22825.45
124;"2013-02-21";2013;2;21;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.08
125;"2013-02-21";2013;2;21;"uf";"Unidad de Fomento (UF)";"Pesos";22827.08
126;"2013-02-22";2013;2;22;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.06
127;"2013-02-22";2013;2;22;"uf";"Unidad de Fomento (UF)";"Pesos";22828.71
128;"2013-02-23";2013;2;23;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.06
129;"2013-02-23";2013;2;23;"uf";"Unidad de Fomento (UF)";"Pesos";22830.34
130;"2013-02-24";2013;2;24;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.06
131;"2013-02-24";2013;2;24;"uf";"Unidad de Fomento (UF)";"Pesos";22831.97
132;"2013-02-25";2013;2;25;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.06
133;"2013-02-25";2013;2;25;"uf";"Unidad de Fomento (UF)";"Pesos";22833.59
134;"2013-02-26";2013;2;26;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.1
135;"2013-02-26";2013;2;26;"uf";"Unidad de Fomento (UF)";"Pesos";22835.22
136;"2013-02-27";2013;2;27;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.1
137;"2013-02-27";2013;2;27;"uf";"Unidad de Fomento (UF)";"Pesos";22836.85
138;"2013-02-28";2013;2;28;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.11
139;"2013-02-28";2013;2;28;"uf";"Unidad de Fomento (UF)";"Pesos";22838.48
140;"2013-03-01";2013;3;1;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.13
141;"2013-03-01";2013;3;1;"uf";"Unidad de Fomento (UF)";"Pesos";22840.11
142;"2013-03-02";2013;3;2;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.13
143;"2013-03-02";2013;3;2;"uf";"Unidad de Fomento (UF)";"Pesos";22841.74
144;"2013-03-03";2013;3;3;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.13
145;"2013-03-03";2013;3;3;"uf";"Unidad de Fomento (UF)";"Pesos";22843.37
146;"2013-03-04";2013;3;4;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.13
147;"2013-03-04";2013;3;4;"uf";"Unidad de Fomento (UF)";"Pesos";22845.0
148;"2013-03-05";2013;3;5;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.13
149;"2013-03-05";2013;3;5;"uf";"Unidad de Fomento (UF)";"Pesos";22846.63
150;"2013-03-06";2013;3;6;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.12
151;"2013-03-06";2013;3;6;"uf";"Unidad de Fomento (UF)";"Pesos";22848.26
152;"2013-03-07";2013;3;7;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.12
153;"2013-03-07";2013;3;7;"uf";"Unidad de Fomento (UF)";"Pesos";22849.89
154;"2013-03-08";2013;3;8;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.19
155;"2013-03-08";2013;3;8;"uf";"Unidad de Fomento (UF)";"Pesos";22851.52
156;"2013-03-09";2013;3;9;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.19
157;"2013-03-09";2013;3;9;"uf";"Unidad de Fomento (UF)";"Pesos";22853.16
158;"2013-03-10";2013;3;10;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.19
159;"2013-03-10";2013;3;10;"uf";"Unidad de Fomento (UF)";"Pesos";22853.9
160;"2013-03-11";2013;3;11;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.22
161;"2013-03-11";2013;3;11;"uf";"Unidad de Fomento (UF)";"Pesos";22854.63
162;"2013-03-12";2013;3;12;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.25
163;"2013-03-12";2013;3;12;"uf";"Unidad de Fomento (UF)";"Pesos";22855.37
164;"2013-03-13";2013;3;13;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.27
165;"2013-03-13";2013;3;13;"uf";"Unidad de Fomento (UF)";"Pesos";22856.11
166;"2013-03-14";2013;3;14;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.27
167;"2013-03-14";2013;3;14;"uf";"Unidad de Fomento (UF)";"Pesos";22856.84
168;"2013-03-15";2013;3;15;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.29
169;"2013-03-15";2013;3;15;"uf";"Unidad de Fomento (UF)";"Pesos";22857.58
170;"2013-03-16";2013;3;16;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.29
171;"2013-03-16";2013;3;16;"uf";"Unidad de Fomento (UF)";"Pesos";22858.32
172;"2013-03-17";2013;3;17;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.29
173;"2013-03-17";2013;3;17;"uf";"Unidad de Fomento (UF)";"Pesos";22859.06
174;"2013-03-18";2013;3;18;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.29
175;"2013-03-18";2013;3;18;"uf";"Unidad de Fomento (UF)";"Pesos";22859.79
176;"2013-03-19";2013;3;19;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.3
177;"2013-03-19";2013;3;19;"uf";"Unidad de Fomento (UF)";"Pesos";22860.53
178;"2013-03-20";2013;3;20;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.32
179;"2013-03-20";2013;3;20;"uf";"Unidad de Fomento (UF)";"Pesos";22861.27
180;"2013-03-21";2013;3;21;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.32
181;"2013-03-21";2013;3;21;"uf";"Unidad de Fomento (UF)";"Pesos";22862.0
182;"2013-03-22";2013;3;22;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.38
183;"2013-03-22";2013;3;22;"uf";"Unidad de Fomento (UF)";"Pesos";22862.74
184;"2013-03-23";2013;3;23;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.38
185;"2013-03-23";2013;3;23;"uf";"Unidad de Fomento (UF)";"Pesos";22863.48
186;"2013-03-24";2013;3;24;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.38
187;"2013-03-24";2013;3;24;"uf";"Unidad de Fomento (UF)";"Pesos";22864.22
188;"2013-03-25";2013;3;25;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.4
189;"2013-03-25";2013;3;25;"uf";"Unidad de Fomento (UF)";"Pesos";22864.95
190;"2013-03-26";2013;3;26;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.46
191;"2013-03-26";2013;3;26;"uf";"Unidad de Fomento (UF)";"Pesos";22865.69
192;"2013-03-27";2013;3;27;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.5
193;"2013-03-27";2013;3;27;"uf";"Unidad de Fomento (UF)";"Pesos";22866.43
194;"2013-03-28";2013;3;28;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.57
195;"2013-03-28";2013;3;28;"uf";"Unidad de Fomento (UF)";"Pesos";22867.16
196;"2013-03-29";2013;3;29;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.57
197;"2013-03-29";2013;3;29;"uf";"Unidad de Fomento (UF)";"Pesos";22867.9
198;"2013-03-30";2013;3;30;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.57
199;"2013-03-30";2013;3;30;"uf";"Unidad de Fomento (UF)";"Pesos";22868.64
200;"2013-03-31";2013;3;31;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.57
201;"2013-03-31";2013;3;31;"uf";"Unidad de Fomento (UF)";"Pesos";22869.38
202;"2013-04-01";2013;4;1;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.6
203;"2013-04-01";2013;4;1;"uf";"Unidad de Fomento (UF)";"Pesos";22870.11
204;"2013-04-02";2013;4;2;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.74
205;"2013-04-02";2013;4;2;"uf";"Unidad de Fomento (UF)";"Pesos";22870.85
206;"2013-04-03";2013;4;3;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.64
207;"2013-04-03";2013;4;3;"uf";"Unidad de Fomento (UF)";"Pesos";22871.59
208;"2013-04-04";2013;4;4;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.66
209;"2013-04-04";2013;4;4;"uf";"Unidad de Fomento (UF)";"Pesos";22872.33
210;"2013-04-05";2013;4;5;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.66
211;"2013-04-05";2013;4;5;"uf";"Unidad de Fomento (UF)";"Pesos";22873.06
212;"2013-04-06";2013;4;6;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.66
213;"2013-04-06";2013;4;6;"uf";"Unidad de Fomento (UF)";"Pesos";22873.8
214;"2013-04-07";2013;4;7;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.66
215;"2013-04-07";2013;4;7;"uf";"Unidad de Fomento (UF)";"Pesos";22874.54
216;"2013-04-08";2013;4;8;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.61
217;"2013-04-08";2013;4;8;"uf";"Unidad de Fomento (UF)";"Pesos";22875.28
218;"2013-04-09";2013;4;9;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.59
219;"2013-04-09";2013;4;9;"uf";"Unidad de Fomento (UF)";"Pesos";22876.01
220;"2013-04-10";2013;4;10;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.57
221;"2013-04-10";2013;4;10;"uf";"Unidad de Fomento (UF)";"Pesos";22879.05
222;"2013-04-11";2013;4;11;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.6
223;"2013-04-11";2013;4;11;"uf";"Unidad de Fomento (UF)";"Pesos";22882.1
224;"2013-04-12";2013;4;12;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.57
225;"2013-04-12";2013;4;12;"uf";"Unidad de Fomento (UF)";"Pesos";22885.14
226;"2013-04-13";2013;4;13;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.57
227;"2013-04-13";2013;4;13;"uf";"Unidad de Fomento (UF)";"Pesos";22888.19
228;"2013-04-14";2013;4;14;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.57
229;"2013-04-14";2013;4;14;"uf";"Unidad de Fomento (UF)";"Pesos";22891.24
230;"2013-04-15";2013;4;15;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.57
231;"2013-04-15";2013;4;15;"uf";"Unidad de Fomento (UF)";"Pesos";22894.28
232;"2013-04-16";2013;4;16;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.57
233;"2013-04-16";2013;4;16;"uf";"Unidad de Fomento (UF)";"Pesos";22897.33
234;"2013-04-17";2013;4;17;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.64
235;"2013-04-17";2013;4;17;"uf";"Unidad de Fomento (UF)";"Pesos";22900.38
236;"2013-04-18";2013;4;18;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.67
237;"2013-04-18";2013;4;18;"uf";"Unidad de Fomento (UF)";"Pesos";22903.42
238;"2013-04-19";2013;4;19;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.66
239;"2013-04-19";2013;4;19;"uf";"Unidad de Fomento (UF)";"Pesos";22906.47
240;"2013-04-20";2013;4;20;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.66
241;"2013-04-20";2013;4;20;"uf";"Unidad de Fomento (UF)";"Pesos";22909.52
242;"2013-04-21";2013;4;21;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.66
243;"2013-04-21";2013;4;21;"uf";"Unidad de Fomento (UF)";"Pesos";22912.57
244;"2013-04-22";2013;4;22;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.66
245;"2013-04-22";2013;4;22;"uf";"Unidad de Fomento (UF)";"Pesos";22915.62
246;"2013-04-23";2013;4;23;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.65
247;"2013-04-23";2013;4;23;"uf";"Unidad de Fomento (UF)";"Pesos";22918.67
248;"2013-04-24";2013;4;24;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.67
249;"2013-04-24";2013;4;24;"uf";"Unidad de Fomento (UF)";"Pesos";22921.72
250;"2013-04-25";2013;4;25;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.72
251;"2013-04-25";2013;4;25;"uf";"Unidad de Fomento (UF)";"Pesos";22924.77
252;"2013-04-26";2013;4;26;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.72
253;"2013-04-26";2013;4;26;"uf";"Unidad de Fomento (UF)";"Pesos";22927.82
254;"2013-04-27";2013;4;27;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.72
255;"2013-04-27";2013;4;27;"uf";"Unidad de Fomento (UF)";"Pesos";22930.87
256;"2013-04-28";2013;4;28;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.72
257;"2013-04-28";2013;4;28;"uf";"Unidad de Fomento (UF)";"Pesos";22933.92
258;"2013-04-29";2013;4;29;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.74
259;"2013-04-29";2013;4;29;"uf";"Unidad de Fomento (UF)";"Pesos";22936.97
260;"2013-04-30";2013;4;30;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.75
261;"2013-04-30";2013;4;30;"uf";"Unidad de Fomento (UF)";"Pesos";22940.02
262;"2013-05-01";2013;5;1;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.75
263;"2013-05-01";2013;5;1;"uf";"Unidad de Fomento (UF)";"Pesos";22943.08
264;"2013-05-02";2013;5;2;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.74
265;"2013-05-02";2013;5;2;"uf";"Unidad de Fomento (UF)";"Pesos";22946.13
266;"2013-05-03";2013;5;3;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.75
267;"2013-05-03";2013;5;3;"uf";"Unidad de Fomento (UF)";"Pesos";22949.18
268;"2013-05-04";2013;5;4;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.75
269;"2013-05-04";2013;5;4;"uf";"Unidad de Fomento (UF)";"Pesos";22952.24
270;"2013-05-05";2013;5;5;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.75
271;"2013-05-05";2013;5;5;"uf";"Unidad de Fomento (UF)";"Pesos";22955.29
272;"2013-05-06";2013;5;6;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.73
273;"2013-05-06";2013;5;6;"uf";"Unidad de Fomento (UF)";"Pesos";22958.35
274;"2013-05-07";2013;5;7;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.69
275;"2013-05-07";2013;5;7;"uf";"Unidad de Fomento (UF)";"Pesos";22961.4
276;"2013-05-08";2013;5;8;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.74
277;"2013-05-08";2013;5;8;"uf";"Unidad de Fomento (UF)";"Pesos";22964.46
278;"2013-05-09";2013;5;9;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.74
279;"2013-05-09";2013;5;9;"uf";"Unidad de Fomento (UF)";"Pesos";22967.51
280;"2013-05-10";2013;5;10;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.76
281;"2013-05-10";2013;5;10;"uf";"Unidad de Fomento (UF)";"Pesos";22963.8
282;"2013-05-11";2013;5;11;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.76
283;"2013-05-11";2013;5;11;"uf";"Unidad de Fomento (UF)";"Pesos";22960.08
284;"2013-05-12";2013;5;12;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.76
285;"2013-05-12";2013;5;12;"uf";"Unidad de Fomento (UF)";"Pesos";22956.37
286;"2013-05-13";2013;5;13;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.74
287;"2013-05-13";2013;5;13;"uf";"Unidad de Fomento (UF)";"Pesos";22952.66
288;"2013-05-14";2013;5;14;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.73
289;"2013-05-14";2013;5;14;"uf";"Unidad de Fomento (UF)";"Pesos";22948.95
290;"2013-05-15";2013;5;15;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.7
291;"2013-05-15";2013;5;15;"uf";"Unidad de Fomento (UF)";"Pesos";22945.24
292;"2013-05-16";2013;5;16;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.58
293;"2013-05-16";2013;5;16;"uf";"Unidad de Fomento (UF)";"Pesos";22941.53
294;"2013-05-17";2013;5;17;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.53
295;"2013-05-17";2013;5;17;"uf";"Unidad de Fomento (UF)";"Pesos";22937.82
296;"2013-05-18";2013;5;18;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.53
297;"2013-05-18";2013;5;18;"uf";"Unidad de Fomento (UF)";"Pesos";22934.11
298;"2013-05-19";2013;5;19;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.53
299;"2013-05-19";2013;5;19;"uf";"Unidad de Fomento (UF)";"Pesos";22930.4
300;"2013-05-20";2013;5;20;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.47
301;"2013-05-20";2013;5;20;"uf";"Unidad de Fomento (UF)";"Pesos";22926.7
302;"2013-05-21";2013;5;21;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.47
303;"2013-05-21";2013;5;21;"uf";"Unidad de Fomento (UF)";"Pesos";22922.99
304;"2013-05-22";2013;5;22;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.48
